astropy__astropy-12907,23.203720092773438,21.81596875190735,23.599637985229492,64364,828,1,19
astropy__astropy-12907,9.9044508934021,19.93508768081665,10.815279960632324,16415,282,1,7
astropy__astropy-12907,13.668699502944946,20.0533549785614,14.091180086135864,16862,548,1,7
astropy__astropy-12907,16.92302703857422,20.548372745513916,17.31431007385254,26898,569,1,10
astropy__astropy-12907,14.400956869125366,21.02349853515625,14.985009908676147,38271,575,1,12
astropy__astropy-12907,10.926970720291138,20.27768349647522,11.314309120178223,23720,331,1,9
astropy__astropy-12907,22.86565613746643,24.860780954360962,23.267388582229614,57525,731,1,17
astropy__astropy-12907,20.708585739135742,18.914201259613037,21.123559713363647,43358,672,1,13
astropy__astropy-12907,9.944847822189331,24.136563301086426,10.473907470703125,13106,389,1,6
astropy__astropy-12907,10.322771310806274,21.031187534332275,10.716675996780396,13522,340,1,6
astropy__astropy-12907,162.82252144813538,21.242538928985596,163.22098350524902,432807,5580,3,106
astropy__astropy-12907,270.6001591682434,18.54096794128418,271.02478289604187,605536,10074,3,119
astropy__astropy-12907,296.0011177062988,19.361138343811035,296.4379289150238,573631,10627,3,118
